Verb,pct_female,pct.male,pct.trans,pct.human,pct.robot,pct.animal,pct.fictional,pct.asian,pct.white,pct.black,pct.PoC.other,pct.heterosexual,pct.homosexual,pct.sexuality.other,pct.child,pct.young.adult,pct.adult,pct.elderly
Neglected,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0
Nurtured,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0,0,0.14285714285714285,0,0.14285714285714285,0,0,0,0,0,0,0,0.2857142857142857,0
Nurturing,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Obeying,0.16129032258064516,0.06451612903225806,0,0.25806451612903225,0,0,0,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.03225806451612903,0,0,0,0.06451612903225806,0.16129032258064516,0.03225806451612903
Obfuscated,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0
Obfuscating,0.2222222222222222,0,0,0.2222222222222222,0,0,0,0,0.2222222222222222,0,0,0,0.1111111111111111,0,0,0.2222222222222222,0,0
Objectifying,0,0.2,0,0.2,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0.2,0
Objecting,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333
Obscured,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0
Obscuring,0.2,0,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0
Observed,0.10909090909090909,0.12727272727272726,0,0.21818181818181817,0.01818181818181818,0,0.05454545454545454,0,0.12727272727272726,0.01818181818181818,0.03636363636363636,0.05454545454545454,0,0,0.01818181818181818,0.01818181818181818,0.2,0
Observing,0.09090909090909091,0.15702479338842976,0,0.19008264462809918,0.06611570247933884,0,0.008264462809917356,0.03305785123966942,0.1322314049586777,0.01652892561983471,0.008264462809917356,0.06611570247933884,0,0,0.008264462809917356,0.008264462809917356,0.21487603305785125,0
Obsessed,0.07142857142857142,0.14285714285714285,0,0.21428571428571427,0,0,0,0,0,0.14285714285714285,0,0.07142857142857142,0,0.14285714285714285,0,0,0.21428571428571427,0
Obstructed,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Obstructing,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Operated,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0
Operating,0.125,0.08333333333333333,0,0.25,0,0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0,0,0,0,0,0.25,0
