SituationID,SituationTitle,Genre,Character,Entity,Technology,Verb
3207,Deep Down Tidal (bias image search),Art,NA,NA,Object recognition,Excluding
3203,The Other Nefertiti (nefertiti hack),Art,NA,NA,3D scans,Digitalizing
3203,The Other Nefertiti (nefertiti hack),Art,NA,Creator,NA,Subverting
3203,The Other Nefertiti (nefertiti hack),Art,NA,Object,NA,Digitalized
3203,The Other Nefertiti (nefertiti hack),Art,NA,NA,3D scans,Replicating
3203,The Other Nefertiti (nefertiti hack),Art,NA,Creator,NA,Hacking
3203,The Other Nefertiti (nefertiti hack),Art,NA,Object,NA,Shared
3203,The Other Nefertiti (nefertiti hack),Art,NA,Creator,NA,Sharing
3203,The Other Nefertiti (nefertiti hack),Art,NA,Object,NA,Replicated
3203,The Other Nefertiti (nefertiti hack),Art,NA,Creator,NA,Pirating
3203,The Other Nefertiti (nefertiti hack),Art,NA,NA,3D scans,Datafying
3203,The Other Nefertiti (nefertiti hack),Art,NA,Creator,NA,Decolonizing
3199,INTERHUMAN (latent walks),Art,NA,NA,Image generation,Visualising
3199,INTERHUMAN (latent walks),Art,NA,Creator,NA,Including
3199,INTERHUMAN (latent walks),Art,NA,Humans in general,NA,Posing
3199,INTERHUMAN (latent walks),Art,NA,NA,Image generation,Morphing
3199,INTERHUMAN (latent walks),Art,NA,Creator,NA,Photographing
