Verb,target,Female,Male,Trans Woman,Robot,Fictional,Human,PoC,White,Child,Young Adult,Adult,Heterosexual,NA,Asian,Elderly,Other,Non-binary or Other,Animal,Bi-sexual,Homosexual
Missing,TRUE,2,0,0,1,0,2,1,0,0,0,2,0,7,0,0,0,0,0,0,0
Mistaking,TRUE,0,1,0,1,0,1,1,0,0,0,2,1,3,0,0,0,0,0,0,0
Mocking,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Modified,FALSE,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Modifying,TRUE,1,1,0,0,0,2,0,2,1,0,1,0,2,0,0,0,0,0,0,0
Monitored,FALSE,9,8,0,3,3,18,5,6,1,7,15,5,45,3,1,0,0,1,0,0
Monitoring,TRUE,5,7,0,4,0,10,2,5,0,0,12,1,28,1,0,0,0,0,0,0
Morphing,TRUE,1,1,0,1,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0
Moving,TRUE,0,1,0,1,0,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0
Multitasking,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Mutilated,FALSE,1,0,0,0,0,2,0,0,0,0,2,0,5,0,0,0,0,0,0,0
Mutilating,TRUE,1,1,0,1,0,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0
Nagged,FALSE,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Nagging,TRUE,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Narrating,TRUE,3,0,0,0,0,4,2,0,0,0,3,0,7,0,1,0,0,0,0,0
Nauseated,FALSE,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Navigating,TRUE,5,9,0,3,0,11,4,8,0,0,13,6,9,1,0,1,0,0,0,0
Neglected,FALSE,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Nurtured,FALSE,1,1,0,0,1,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0
