Verb,target,SituationID,Government,Narrative,Art,User,Humans in general,Corporation,Game,Object,Image,Creator,Law enforcement,Environment,Military
Conceptualizing,TRUE,1652,0,0,1,0,0,0,0,0,0,1,0,0,0
Conceptualizing,TRUE,2248,0,0,1,0,0,0,0,0,0,1,0,0,0
Conceptualizing,TRUE,2537,0,0,1,0,0,0,0,0,0,1,0,0,0
Confronted,FALSE,1215,0,0,1,1,0,0,0,0,0,0,0,0,0
Connecting,TRUE,2383,0,1,0,0,1,0,0,0,0,0,0,0,0
consenting,TRUE,3092,0,0,1,0,1,0,0,0,0,0,0,0,0
Conserved,FALSE,1897,0,1,0,0,0,0,0,0,0,0,0,1,0
Conserving,TRUE,1897,1,2,0,0,0,1,0,0,0,0,0,0,0
Controlled,FALSE,1157,0,0,1,1,0,0,0,0,0,0,0,0,0
Controlled,FALSE,1657,0,0,1,0,0,0,0,0,1,0,0,0,0
Controlled,FALSE,1936,0,1,0,0,1,0,0,0,0,0,0,0,0
Controlled,FALSE,3006,0,0,0,0,0,0,1,1,0,0,0,0,0
Controlled,FALSE,3083,0,1,0,1,0,0,0,0,0,0,0,0,0
Controlling,TRUE,243,1,1,0,0,0,0,0,0,0,0,0,0,0
Controlling,TRUE,244,1,0,1,0,0,0,0,0,0,0,0,0,0
Controlling,TRUE,315,0,1,0,0,0,0,0,0,0,1,0,0,0
Controlling,TRUE,537,0,1,0,0,0,1,0,0,0,0,0,0,0
Controlling,TRUE,654,0,1,0,0,0,0,0,0,0,0,1,0,0
Controlling,TRUE,716,0,0,1,0,0,0,0,0,0,1,0,0,0
Controlling,TRUE,1021,1,1,0,0,0,0,0,0,0,0,0,0,0
Controlling,TRUE,1120,0,0,0,0,0,1,1,0,0,0,0,0,0
Controlling,TRUE,1173,1,0,0,0,0,0,1,0,0,0,0,0,0
Controlling,TRUE,1186,0,0,0,1,0,0,1,0,0,0,0,0,0
Controlling,TRUE,1636,0,0,1,0,0,1,0,0,0,0,0,0,0
Controlling,TRUE,1688,0,0,0,1,0,0,1,0,0,0,0,0,0
Controlling,TRUE,1779,0,0,1,0,0,0,0,0,0,0,1,0,0
Controlling,TRUE,2105,0,1,0,0,0,0,0,0,0,0,0,0,1
Controlling,TRUE,2230,0,1,0,0,0,1,0,0,0,0,0,0,0
Controlling,TRUE,2246,0,0,1,0,0,1,0,0,0,0,0,0,0
Controlling,TRUE,2248,0,0,1,1,0,0,0,0,0,0,0,0,0
Controlling,TRUE,2383,0,1,0,0,1,0,0,0,0,0,0,0,0
Controlling,TRUE,2709,1,1,0,0,0,0,0,0,0,0,0,0,0
Controlling,TRUE,2949,0,1,0,0,0,1,0,0,0,0,0,0,0
Controlling,TRUE,2979,0,0,0,1,0,0,1,0,0,0,0,0,0
