WorkTitle,WorkID,Work_WikidataID,Creator,CreatorID,Creator_WikidataID
Thoughts and Prayers,94,NA,Ken Liu,93,Q151720
No More Selfies - A Kardashian Dystopia,165,NA,Kevin Fanning,160,NA
Srivalli,2382,Q30592092,Koduri Viswa Vijayendra Prasad,2378,NA
Death Stranding,752,Q24666782,Kojima Productions,749,Q2531521
Portrait Machine,3012,NA,Kyle Mcdonald,119,NA
Us+,121,NA,Kyle Mcdonald,119,NA
Vibe Check,3014,NA,Kyle Mcdonald,119,NA
Bouvetøya 2052,2477,NA,Lars Mæhle,2471,Q11983315
Moxyland,971,Q6856084,Lauren Beukes,969,Q664673
Vibe Check,3014,NA,Lauren McCarthy,120,Q58303084
Lauren,123,NA,Lauren McCarthy,120,Q58303084
Us+,121,NA,Lauren McCarthy,120,Q58303084
Neuro Mirror,3067,NA,Laurent Mignonneau,3066,NA
"AI Facial Profiling, Levels of Paranoia",3210,NA,Laurent Weingart,3209,NA
Selfies,125,NA,Lavie Tidhar,124,Q666468
The Last Human,2463,NA,Lee Bacon,2462,Q95242557
My Holo Love,2433,Q65239333,Lee Sang-Yeob,2432,NA
The Invisible Man,2544,Q64004122,Leigh Whannell,2538,Q471215
Desiluciones ópticas,1856,NA,Leo Nuñez,1855,Q21003393
YHB Pocket Shield,2047,NA,Leonardo Selvaggio,1515,NA
URME Personal Surveillance Identity Prosthetic,1516,NA,Leonardo Selvaggio,1515,NA
Iris,40,NA,Les Levine,38,Q18023286
SelfieCity,3051,NA,Lev Manovich,3047,Q716367
eXperience112,1175,Q1940592,Lexis Numérique,1174,Q15232085
In the Robot Skies: A Drone Love Story,25,NA,Liam Young,22,Q18342403
I Spy with my Machine Eye,26,NA,Liam Young,22,Q18342403
The Argus Project,3171,NA,Ligaiya Romero,3166,NA
Clandestine,1037,Q106335936,Logic Artists,1036,Q29578855
Square Eyes,585,NA,Luke Jones,584,NA
Tillie and CyberRoberta,3037,NA,Lynn Hershman Leeson,3036,Q6709060
Emily Eternal,3252,NA,M.G. Wheaton,3250,NA
This Time Away,2663,NA,Magali Barbe,372,NA
Strange Beasts,373,NA,Magali Barbe,372,NA
Trust,1769,NA,Magid Jill,1766,NA
System Azure Security Ornamentation,1767,NA,Magid Jill,1766,NA
Facial Features Not Recognized,224,NA,manen_lyset,223,NA
H.I.T.,1181,NA,Manetta Berends,2763,NA
FACELESS,1791,NA,Manu Luksch,1790,Q61725713
"10.000 Moving Cities – Same but Different, VR",210,NA,Marc Lee,209,Q1892688
Data Feelings (The Happy App),1671,NA,Mari Nagem,1670,NA
as.phyx.i.a,912,NA,Maria Takeuchi,911,NA
NA,NA,NA,Marie Darrieussecq,575,NA
79530 Self Portraits,239,NA,Mario Klingemann,238,Q55767529
Common Daemoniator,1902,NA,Mario Klingemann,238,Q55767529
X Degrees of Separation,2250,NA,Mario Klingemann,238,Q55767529
Ring (TM) Log,628,NA,Mark Sample,623,NA
PHYSIOGNOMIC SCRUTINIZER,1573,NA,Marnix de Nijs,1571,Q28873423
15 minutes of biometric fame,1572,NA,Marnix de Nijs,1571,Q28873423
Too Much,2449,NA,Marshmello,2447,Q26334949
"AI Facial Profiling, Levels of Paranoia",3210,NA,Marta Revuelta,3208,NA
The Murderbot Diaries (series),1481,Q63171261,Martha Wells,1477,Q6774606
Pixelhead,1511,NA,Martin Backes,1510,Q95894756
Vigilance 1.0,888,NA,Martin Le Chevallier,889,Q16663547
Captain America: The Winter soldier,1946,Q1765358,Marvel,452,NA
Thor: Ragnarok,2356,Q22665878,Marvel,452,NA
Iron Man,454,Q192724,Marvel,452,NA
Black Widow,3137,Q23894626,Marvel,452,NA
The Avengers,2339,Q182218,Marvel,452,NA
For Want of a Nail,2095,Q27903816,Mary Robinette Kowal,2085,Q4225496
The Simpsons,682,Q66498550,Matt Groening,680,Q43994
How to Sell Drugs Online (Fast),2241,Q58476599,Matthias Murmann,2234,NA
China Mountain Zhang,976,Q5099787,Maureen F. McHugh,973,Q299933
Values Of Values,3020,NA,Maurice Benayoun,3019,Q3300395
"So.So.So. (Somebody, Somewhere, Sometime)",3039,NA,Maurice Benayoun,3019,Q3300395
